time,time_ent,type,position_id,magic,price_ent,volume,posi,time_ext,price_ext,profit,comment,delta_t,pts_final_demo,pts_final_real,lucro,cstrategy
2025-06-25 10:10:00,2025-06-25 10:15:00,0,2129899857,9783,138845.0,1.0,long,2025-06-25 17:54:00,137835.0,-202.0,,459.0,1010.0,-1010.0,-202.5,-202.5
2025-06-25 10:30:00,2025-06-25 10:35:04,1,2130055836,9783,138600.0,1.0,short,2025-06-25 17:54:00,137840.0,152.0,,438.93333333333334,760.0,760.0,151.5,-51.0
2025-06-25 11:15:00,2025-06-25 11:20:00,0,2130304347,9783,138640.0,1.0,long,2025-06-25 17:54:00,137835.0,-161.0,,394.0,805.0,-805.0,-161.5,-212.5
2025-06-25 11:30:00,2025-06-25 11:35:00,0,2130381646,9783,138660.0,1.0,long,2025-06-25 17:54:00,137835.0,-165.0,,379.0,825.0,-825.0,-165.5,-378.0
2025-06-25 11:55:00,2025-06-25 12:00:00,1,2130491668,9783,138465.0,1.0,short,2025-06-25 17:54:00,137840.0,125.0,,354.0,625.0,625.0,124.5,-253.5
2025-06-25 12:20:00,2025-06-25 12:25:00,1,2130612541,9783,137940.0,1.0,short,2025-06-25 17:54:00,137840.0,20.0,,329.0,100.0,100.0,19.5,-234.0
2025-06-25 12:40:00,2025-06-25 12:45:00,0,2130728070,9783,138285.0,1.0,long,2025-06-25 17:54:00,137835.0,-90.0,,309.0,450.0,-450.0,-90.5,-324.5
2025-06-25 13:00:00,2025-06-25 13:05:00,0,2130805576,9783,138420.0,1.0,long,2025-06-25 17:54:00,137835.0,-117.0,,289.0,585.0,-585.0,-117.5,-442.0
2025-06-25 13:30:00,2025-06-25 13:35:00,0,2130894340,9783,138560.0,1.0,long,2025-06-25 17:54:00,137835.0,-145.0,,259.0,725.0,-725.0,-145.5,-587.5
2025-06-25 13:40:00,2025-06-25 13:45:00,0,2130918901,9783,138595.0,1.0,long,2025-06-25 17:54:00,137835.0,-152.0,,249.0,760.0,-760.0,-152.5,-740.0
2025-06-26 10:05:00,2025-06-26 10:10:00,1,2131748017,9783,138455.0,1.0,short,2025-06-26 17:54:00,139325.0,-174.0,,464.0,870.0,-870.0,-174.5,-914.5
2025-06-26 10:25:00,2025-06-26 10:30:00,0,2131842072,9783,139045.0,1.0,long,2025-06-26 17:54:00,139320.0,55.0,,444.0,275.0,275.0,54.5,-860.0
2025-06-26 11:05:00,2025-06-26 11:10:00,0,2132038034,9783,139125.0,1.0,long,2025-06-26 17:54:00,139320.0,39.0,,404.0,195.0,195.0,38.5,-821.5
2025-06-26 11:15:00,2025-06-26 11:20:00,0,2132071808,9783,139255.0,1.0,long,2025-06-26 17:54:00,139320.0,13.0,,394.0,65.0,65.0,12.5,-809.0
2025-06-26 11:30:00,2025-06-26 11:35:00,0,2132123368,9783,139340.0,1.0,long,2025-06-26 17:54:00,139320.0,-4.0,,379.0,20.0,-20.0,-4.5,-813.5
2025-06-26 11:40:00,2025-06-26 11:45:00,0,2132157853,9783,139530.0,1.0,long,2025-06-26 17:54:00,139320.0,-42.0,,369.0,210.0,-210.0,-42.5,-856.0
2025-06-26 12:20:00,2025-06-26 12:25:00,0,2132265083,9783,139550.0,1.0,long,2025-06-26 17:54:00,139320.0,-46.0,,329.0,230.0,-230.0,-46.5,-902.5
2025-06-26 12:35:00,2025-06-26 12:40:00,0,2132312906,9783,139540.0,1.0,long,2025-06-26 17:54:00,139320.0,-44.0,,314.0,220.0,-220.0,-44.5,-947.0
2025-06-26 13:15:00,2025-06-26 13:20:00,0,2132404546,9783,139630.0,1.0,long,2025-06-26 17:54:00,139320.0,-62.0,,274.0,310.0,-310.0,-62.5,-1009.5
2025-06-26 13:40:00,2025-06-26 13:45:00,0,2132445374,9783,139700.0,1.0,long,2025-06-26 17:54:00,139320.0,-76.0,,249.0,380.0,-380.0,-76.5,-1086.0
2025-06-27 11:30:00,2025-06-27 11:35:00,1,2133783574,9783,138985.0,1.0,short,2025-06-27 17:53:59,139145.0,-32.0,,378.98333333333335,160.0,-160.0,-32.5,-1118.5
2025-06-27 12:05:00,2025-06-27 12:10:00,0,2133939041,9783,139220.0,1.0,long,2025-06-27 17:53:59,139140.0,-16.0,,343.98333333333335,80.0,-80.0,-16.5,-1135.0
2025-06-27 12:30:00,2025-06-27 12:35:00,1,2134032383,9783,138945.0,1.0,short,2025-06-27 17:54:00,139145.0,-40.0,,319.0,200.0,-200.0,-40.5,-1175.5
2025-06-27 12:45:00,2025-06-27 12:50:00,0,2134095577,9783,139350.0,1.0,long,2025-06-27 17:54:00,139140.0,-42.0,,304.0,210.0,-210.0,-42.5,-1218.0
2025-06-27 13:35:00,2025-06-27 13:40:00,1,2134263473,9783,139330.0,1.0,short,2025-06-27 17:54:00,139145.0,37.0,,254.0,185.0,185.0,36.5,-1181.5
2025-06-30 10:30:00,2025-06-30 10:35:00,0,2135493394,9783,139375.0,1.0,long,2025-06-30 14:31:50,140855.0,296.0,[tp 140855],236.83333333333334,1480.0,1480.0,295.5,-886.0
2025-06-30 11:25:00,2025-06-30 11:30:00,1,2135863886,9783,140005.0,1.0,short,2025-06-30 17:54:00,141150.0,-229.0,,384.0,1145.0,-1145.0,-229.5,-1115.5
2025-06-30 11:35:00,2025-06-30 11:40:00,1,2135913876,9783,140000.0,1.0,short,2025-06-30 17:54:00,141150.0,-230.0,,374.0,1150.0,-1150.0,-230.5,-1346.0
2025-06-30 11:50:00,2025-06-30 11:55:00,0,2135984160,9783,140240.0,1.0,long,2025-06-30 17:54:00,141145.0,181.0,,359.0,905.0,905.0,180.5,-1165.5
2025-06-30 13:40:00,2025-06-30 13:45:00,0,2136450908,9783,140450.0,1.0,long,2025-06-30 17:54:00,141145.0,139.0,,249.0,695.0,695.0,138.5,-1027.0
2025-06-30 13:50:00,2025-06-30 13:55:00,0,2136482630,9783,140490.0,1.0,long,2025-06-30 17:54:00,141145.0,131.0,,239.0,655.0,655.0,130.5,-896.5
2025-07-01 10:20:00,2025-07-01 10:25:00,0,2137662997,9783,141655.0,1.0,long,2025-07-01 17:54:00,141705.0,10.0,,449.0,50.0,50.0,9.5,-887.0
2025-07-01 10:35:00,2025-07-01 10:40:00,0,2137780751,9783,141760.0,1.0,long,2025-07-01 17:54:00,141705.0,-11.0,,434.0,55.0,-55.0,-11.5,-898.5
2025-07-01 10:50:00,2025-07-01 10:55:00,1,2137895138,9783,141305.0,1.0,short,2025-07-01 17:54:00,141710.0,-81.0,,419.0,405.0,-405.0,-81.5,-980.0
2025-07-01 11:00:00,2025-07-01 11:05:00,1,2137973937,9783,141215.0,1.0,short,2025-07-01 17:54:00,141710.0,-99.0,,409.0,495.0,-495.0,-99.5,-1079.5
2025-07-01 12:25:00,2025-07-01 12:30:00,0,2138491191,9783,141345.0,1.0,long,2025-07-01 17:54:00,141705.0,72.0,,324.0,360.0,360.0,71.5,-1008.0
2025-07-01 12:50:00,2025-07-01 12:55:00,1,2138624919,9783,141170.0,1.0,short,2025-07-01 17:54:00,141710.0,-108.0,,299.0,540.0,-540.0,-108.5,-1116.5
2025-07-01 13:10:00,2025-07-01 13:15:00,0,2138728331,9783,141745.0,1.0,long,2025-07-01 17:54:00,141705.0,-8.0,,279.0,40.0,-40.0,-8.5,-1125.0
2025-07-01 13:20:00,2025-07-01 13:25:00,0,2138773786,9783,141805.0,1.0,long,2025-07-01 17:54:00,141705.0,-20.0,,269.0,100.0,-100.0,-20.5,-1145.5
2025-07-01 13:55:00,2025-07-01 14:00:00,1,2138895073,9783,141570.0,1.0,short,2025-07-01 17:54:00,141710.0,-28.0,,234.0,140.0,-140.0,-28.5,-1174.0
