time,open,high,low,close,position,strategy,status_trade,pts_final,cstrategy,equity
2025-06-25 09:00:00,139300.0,139385.0,138930.0,139055.0,0,0.0,0,0.0,0.0,30000.0
2025-06-25 09:05:00,139060.0,139195.0,139005.0,139120.0,0,0.0,0,0.0,0.0,30000.0
2025-06-25 09:10:00,139125.0,139145.0,138855.0,138865.0,0,0.0,0,0.0,0.0,30000.0
2025-06-25 09:15:00,138865.0,138885.0,138435.0,138530.0,0,0.0,0,0.0,0.0,30000.0
2025-06-25 09:20:00,138525.0,138660.0,138380.0,138495.0,0,0.0,0,0.0,0.0,30000.0
2025-06-25 09:25:00,138490.0,138495.0,138260.0,138380.0,0,0.0,0,0.0,0.0,30000.0
2025-06-25 09:30:00,138380.0,138600.0,138305.0,138560.0,0,0.0,0,0.0,0.0,30000.0
2025-06-25 09:35:00,138565.0,138685.0,138495.0,138565.0,0,0.0,0,0.0,0.0,30000.0
2025-06-25 09:40:00,138570.0,138625.0,138445.0,138500.0,0,0.0,0,0.0,0.0,30000.0
2025-06-25 09:45:00,138500.0,138675.0,138480.0,138665.0,0,0.0,0,0.0,0.0,30000.0
2025-06-25 09:50:00,138665.0,138765.0,138590.0,138745.0,0,0.0,0,0.0,0.0,30000.0
2025-06-25 09:55:00,138745.0,138905.0,138665.0,138735.0,0,0.0,0,0.0,0.0,30000.0
2025-06-25 10:00:00,138730.0,138835.0,138625.0,138665.0,0,0.0,0,0.0,0.0,30000.0
2025-06-25 10:05:00,138670.0,138815.0,138510.0,138740.0,0,0.0,0,0.0,0.0,30000.0
2025-06-25 10:10:00,138740.0,138935.0,138665.0,138850.0,1,-134.0,0,-660.0,-134.0,29866.0
2025-06-25 10:15:00,138850.0,138880.0,138745.0,138810.0,0,0.0,0,0.0,-134.0,29866.0
2025-06-25 10:20:00,138810.0,138915.0,138690.0,138830.0,0,0.0,0,0.0,-134.0,29866.0
2025-06-25 10:25:00,138835.0,138940.0,138610.0,138670.0,0,0.0,0,0.0,-134.0,29866.0
2025-06-25 10:30:00,138670.0,138685.0,138395.0,138600.0,-1,80.0,0,410.0,-54.0,29946.0
2025-06-25 10:35:00,138600.0,138650.0,138315.0,138415.0,0,0.0,0,0.0,-54.0,29946.0
2025-06-25 10:40:00,138415.0,138430.0,138250.0,138325.0,0,0.0,0,0.0,-54.0,29946.0
2025-06-25 10:45:00,138330.0,138710.0,138280.0,138570.0,0,0.0,0,0.0,-54.0,29946.0
2025-06-25 10:50:00,138570.0,138645.0,138465.0,138475.0,0,0.0,0,0.0,-54.0,29946.0
2025-06-25 10:55:00,138475.0,138585.0,138435.0,138505.0,0,0.0,0,0.0,-54.0,29946.0
2025-06-25 11:00:00,138505.0,138575.0,138375.0,138440.0,0,0.0,0,0.0,-54.0,29946.0
2025-06-25 11:05:00,138440.0,138470.0,138270.0,138320.0,0,0.0,0,0.0,-54.0,29946.0
2025-06-25 11:10:00,138320.0,138525.0,138320.0,138505.0,0,0.0,0,0.0,-54.0,29946.0
2025-06-25 11:15:00,138510.0,138685.0,138495.0,138640.0,1,-92.0,0,-450.0,-146.0,29854.0
2025-06-25 11:20:00,138640.0,138645.0,138480.0,138520.0,0,0.0,0,0.0,-146.0,29854.0
2025-06-25 11:25:00,138525.0,138560.0,138415.0,138540.0,0,0.0,0,0.0,-146.0,29854.0
2025-06-25 11:30:00,138540.0,138680.0,138535.0,138660.0,1,-96.0,0,-470.0,-242.0,29758.0
2025-06-25 11:35:00,138655.0,138830.0,138630.0,138635.0,0,0.0,0,0.0,-242.0,29758.0
2025-06-25 11:40:00,138640.0,138685.0,138560.0,138565.0,0,0.0,0,0.0,-242.0,29758.0
